provinces;province_name;trade_good
894;Mackamentain;magical_supplies
895;Trossan Camp;fur
896;Fort Entius;gems
897;Mage's Gathering;salt
898;Forestville;timber
899;Deserted Mine;gold
900;Crayfish;grain
901;Fort Cedrian;iron
902;Riverglade;fish
903;Souzare;grain
904;Timberscarn Hollow;spices
905;Newt Caverns;fish
906;Culotte;cloth
907;Cropsford;grain
908;Cracked Wood;copper
909;Vanua;cloth
910;Fort Magia;naval_supplies
911;Blue Road Keep;iron
912;Nagastani;silk
913;Memorial Barrow;fish
914;Fort Urasek;naval_supplies
915;Vilverin;paper
916;Fort Chalman;naval_supplies
917;Fort Caractacus;iron
918;Fathis Aren's Tower;iron
919;Aleswell;wool
920;Roxeyville;grain
921;Frostfire Glade;gems
922;Highlands;wool
923;Chalman Keep;grain
924;Silver Tooth;grain
925;Fort Horunn;copper
926;Exhausted Rock;gold
927;Beast Maw;iron
928;White Fall Ranges;timber
929;Steed Valley;livestock
930;Entin;livestock
931;Mist Morrow;grain
932;Nornal;magical_supplies
933;Wendelbek;magical_supplies
934;Drakelowe;grain
935;Fort Facian;livestock
936;Sheltered Hills;grain
937;Hame;paper
938;Boethia's Peaks;copper
939;Fort Naso;copper
940;Carbo;fish
941;Muck Valley;livestock
942;Poppod Hamlet;livestock
943;Harlun's Watch;grain
944;Knights of the Thorn Lodge;grain
945;Quick-Water;fish
946;Barren Falls;salt
947;Wind Range;fur
948;Cheydinhal;cloth
949;Jerral Hills;copper
950;Hidden Camp;fur
951;Mountain Camp;fur
952;Sedor;silk
953;Frostbitten Hills;salt
954;Gnoll Mountain;fur
955;Rugdumph's Estate;grain
956;Dive Rock;copper
957;Ancestor Moth Hill;paper
958;Farragut Keep;livestock
959;Kemen;magical_supplies
960;Rickety Mine;iron
961;Akatosh's Rock;grain
962;Fort Scinia;wine
963;Hero Hill;copper
964;Shetcombe;livestock
994;Harm's Folly;grain
