provinces;province name;trade good
366;Sailen Vulgate;copper
367;Enamor Dayn;fish
368;Salen Vulgate;iron
369;Rephan Coast;cloth
370;Necrom;silk
371;Rephan Cove;naval_supplies
372;Mephala Temple;ebony
373;Aldr Cove;fish
374;Salen;malachite
375;Darnim Watch;naval_supplies
376;Green Beach;fish
377;Greenheights;livestock
378;Ammar;naval_supplies
379;Greenheight Lighthouse;fish
380;Praloris;cloth
381;Marog;dwemer_artifacts
382;Nelnim;salt
383;Mount Melpha;iron
384;Velothi Beach;fish
385;Sadrith Hills;copper
386;Sadrith Woods;naval_supplies
387;Velothi's Haven;fish
388;Port Velothi;naval_supplies
389;Tel Mothriva;paper
390;Ingun's Run;grain
391;Llolanthis Heights;ebony
392;Tel Drew Beachs;fish
393;Firewatch;malachite
394;Sadrith Mora;magical_supplies
395;Tel Aranyon;ebony
396;Tel Aranyon;ebony
397;Tel Obada;fish
398;Bal Oyra;fish
399;Bthzundcheft;dwemer_artifacts
400;Gah Sadrith;cloth
401;Sadas Plantation;grain
402;Yashazmus;dwemer_artifacts
403;Port Telvannis;naval_supplies
404;Dwenven Beach;fish
405;Telish Hills;copper
406;Mount Tel;malachite
407;Tel Forests;naval_supplies
408;Halaran;fish
409;Shad Island;fish
410;Bahrammu;fish
411;Ald Daedroth;naval_supplies
412;Dagon Fel;fish
413;Ald Redaynia;naval_supplies
414;Ahemmusa;livestock
415;Vos;grain
416;Indoranyon;grain
417;Hanud;copper
418;Tel Aruhn;slaves
419;Kushtashpi;iron
420;Tel Vos;grain
421;Nchuleft;dwemer_artifacts
422;Venim Meadow;grain
423;Zainab Camp;livestock
424;Aralen Grasslands;grain
425;Sethan Groves;grain
426;Falensarano;livestock
427;Lenith Cliffs;orichalcum
428;Tel Aruhn;slaves
429;Tel Fyr;magical_supplies
430;Kaushtarari;orichalcum
431;Uvirith's Grave;livestock
432;Erabenimsun Camp;fur
433;Arethan Cliffs;livestock
434;Tusenend;magical_supplies
435;Shashpilamat;orichalcum
436;Holyamayan Monastery;paper
437;Azura's Shrine;livestock
438;Odirniran;grain
439;Mawia;fish
440;Molag Mar;cloth
441;Tel Branora;livestock
442;Telasero;salt
443;Mount Kand;fur
444;Mzahnch;dwemer_artifacts
445;Mababi;cloth
446;Nchuleftingth;dwemer_artifacts
447;Shishara;iron
448;Suran;grain
449;Omani Manor;grain
450;Marandus;naval_supplies
451;Sulipund;copper
452;Arkngthand;dwemer_artifacts
453;Dren Plantation;grain
454;Vivec;paper
455;Ebonheart;naval_supplies
456;Seyda Neen;fish
457;Pelagiad;grain
458;Nimawia;fish
459;Balmora;cloth
460;Assarnatamat;ebony
461;Caldera;ebony
462;Hlormaren;naval_supplies
463;Hla Oad;fish
464;Nilthog's Hollow;fur
465;Buckmoth Fort;iron
466;Ald'ruhn;livestock
467;Gnaar Mok;fish
468;Odibaal;iron
469;Bal Isra;livestock
470;Andasreth;naval_supplies
471;Ashimanu;livestock
472;Dushariran;orichalcum
473;Ashalmawia;livestock
474;Berandas;grain
475;Gnisis;livestock
476;Ald Velothi;naval_supplies
477;Maelkashishi;incense
478;Maar Gan;livestock
479;Shishi;iron
480;Khuul;fish
481;Falasmaryon;livestock
482;Valenvaryon;naval_supplies
483;Urshilaku;fur
