id;name;rel
613;Ronasis (M);ra-gada_rel
614;Vel M'kai;ra-gada_rel
615;North Hall;ra-gada_rel
616;Arbol (M);ra-gada_rel
617;Odomirn (M);ra-gada_rel
618;Riverpoint;ra-gada_rel
619;Hogdith (M);ra-gada_rel
620;Bepghei (M);ra-gada_rel
621;Ash'abhas;ra-gada_rel
622;Telesubi;ra-gada_rel
623;Tarkasus;ra-gada_rel
624;Vulnim Gate;ra-gada_rel
625;Nilata;ra-gada_rel
626;Klathzgar;ra-gada_rel
627;Bangkorai South Pass;ra-gada_rel
628;Lakewatch;ra-gada_rel
629;Vulkenu Town;ra-gada_rel
630;Cliff Keep;ra-gada_rel
631;Skaven;ra-gada_rel
632;FangLair Spire;ra-gada_rel
633;Na-Totambu Catacombs;ra-gada_rel
634;Bleakview Keep (M);ra-gada_rel
635;Earthtear;ra-gada_rel
636;Buried Sands;ra-gada_rel
637;Ogondar;ra-gada_rel
638;Haddocksmarket;ra-gada_rel
639;Molavar;ra-gada_rel
640;Belkarth;ra-gada_rel
641;Elinhir;ra-gada_rel
642;Hakkvild;ra-gada_rel
643;Nimbel;ra-gada_rel
644;Adamant;ra-gada_rel
645;Ankara;ra-gada_rel
646;Spellscar;ra-gada_rel
647;Zalgaz;ra-gada_rel
648;Gahlovi (M);ra-gada_rel
649;Scorpion Ravines;ra-gada_rel
650;Tehla (M);ra-gada_rel
651;Lanista;ra-gada_rel
652;Rkhardahrk;ra-gada_rel
653;Twilight Temple;ra-gada_rel
654;Hel-Ra Citadel;ra-gada_rel
655;Damar;ra-gada_rel
656;Cilla-Karak;ra-gada_rel
657;Fearfrost;ra-gada_rel
658;Rahni'Za;ra-gada_rel
659;Tear;ra-gada_rel
660;Pale Pass;ra-gada_rel
661;Wildeye;ra-gada_rel
662;Gnoll Mountain;ra-gada_rel
663;Frostcrag Spire;ra-gada_rel
664;Fort Dragonclaw;ra-gada_rel
665;Cloud Ruler Temple;ra-gada_rel
666;Rielle;ra-gada_rel
667;Boreal Stone;ra-gada_rel
668;Alessia's Rest;ra-gada_rel
669;Jagged Hills;ra-gada_rel
670;Lipsand Tarn;ra-gada_rel
671;Sancre Tor;ra-gada_rel
672;Ninendava;ra-gada_rel
673;Applewatch;ra-gada_rel
674;Underpall;ra-gada_rel
675;Bruma;ra-gada_rel
676;Plundered Gates;ra-gada_rel
677;Toadstool Hollow;ra-gada_rel
678;Bleaker's Outpost;ra-gada_rel
679;Anga;ra-gada_rel
680;Ice-Heart;ra-gada_rel
681;Bleaker's Way;ra-gada_rel
682;Endre;ra-gada_rel
683;Piukanda;ra-gada_rel
684;Fort Coldcorn;ra-gada_rel
685;Sheltered Leaves;ra-gada_rel
