     ;red;green;blue;x;x
66;10;35;123;Darkwater Crossing;x
67;28;16;134;Paragon Village;x
68;101;23;133;Bonestrewn Crest;x
69;200;95;41;Mixwater;x
70;67;106;127;Gallow's Rock;x
71;254;194;47;Northwatch Keep;x
72;27;27;200;Pinefrost Tower;x
73;70;106;49;Deepwood Redoubt;x
74;166;147;47;Dragon's Bridge;x
75;12;222;171;Greenwall;x
76;219;47;88;Treva's Watch;x
77;87;183;253;Nilhelm;x
78;3;68;251;Sunguard;x
79;235;195;96;Ivarstead;x
80;6;240;120;Arcwind Point;x
81;232;46;13;Autumnwatch Tower;x
82;190;11;248;Nimalten City;x
83;86;168;74;Valtheim;x
84;220;136;237;Fellglow Keep;x
85;45;147;172;Whitewatch Tower;x
86;253;161;98;Whiterun;x
87;46;239;89;Riverwood;x
88;139;249;50;Oakwood;x
89;22;59;135;Halted Stream;x
90;53;81;217;Stonehill Bluff;x
91;246;16;157;Cold Rock Pass;x
92;60;211;215;Crabber's Shanty;x
93;45;104;187;Greenspring Hollow;x
94;109;13;131;Whiterun's Farms;x
95;93;89;14;Western Watchtower;x
96;192;57;23;Fort Greymoor;x
97;54;158;96;Rorik's Steading;x
98;101;108;151;Orotheim;x
99;223;151;250;Frostfall Fishery;x
100;236;23;184;Sundered Towers;x
101;206;231;244;Karthstream;x
102;208;131;186;UNNAMED;x
103;177;129;98;Bruca's Leap;x
104;149;110;148;Dragon's Bridge Overlook;x
105;168;171;119;Forbearer's Holdout;x
106;6;158;107;Fort Lilnheild;x
107;254;3;44;Broken Tower Dedoubt;x
108;2;125;11;Snowhawk;x
109;229;183;14;Karth Crossing;x
110;159;180;126;Cliffside Retreat;x
111;127;64;16;Mor Khazgur;x
112;215;137;80;Drudach Redoubt;x
113;240;53;119;Harmugstahl;x
114;201;135;183;Ragnvald;x
115;10;116;182;Karthwasten;x
116;96;245;185;Red Eagle's Redoubt;x
117;3;214;11;Cragrock;x
118;224;129;136;Markarth;x
119;227;253;80;Amberguard;x
120;107;53;158;Old Hrol'dan;x
121;243;114;0;Karthspire;x
122;119;250;186;Lainalten;x
123;244;137;189;Serpent's Bluff;x
124;39;217;214;Fort Sungard;x
125;217;102;144;Black Moor;x
126;116;202;141;Granite Hall;x
127;195;223;7;Hagrock Redoubt;x
128;249;67;52;Fort Reachcliff;x
129;104;191;68;Dushink Yal;x
130;48;202;104;Cradlestone Tower;x
131;203;137;14;North Keep;x
132;187;192;56;Bannermist Tower;x
133;213;90;156;Hunter's Rest;x
134;67;211;93;Evergreen Grove;x
135;36;70;69;River Crossing;x
136;46;39;90;Pinewood;x
137;13;44;125;Helgen;x
138;44;85;140;Fort Neugard;x
139;24;145;238;Pinewatch;x
140;52;44;253;Peak's Shade;x
141;111;178;75;Shriekwind Bastion;x
142;173;120;133;Falkreath Watchtower;x
143;204;29;194;Cracked Tusk Keep;x
144;31;224;212;Falkreath;x
145;199;198;220;Jehanna;x
146;248;141;140;Sorrow;x
147;121;200;122;Dunlain;x
148;36;74;26;Rkindaleft;x
149;185;254;150;Farrun;x
150;42;8;213;Cloud Spring;x
151;104;130;145;Shatul;x
152;177;254;192;Orsinium;x
153;78;245;154;Frostbreak Fortress;x
154;193;17;157;Torug's Arch;x
155;247;54;5;Zthenganaz;x
156;124;181;56;Northwood;x
157;224;190;245;Frozen Fleet;x
158;108;59;15;Snowline;x
159;254;172;31;Jackdaw;x
160;240;182;154;Kerbol's Hollow;x
161;139;100;193;Troll's Toothpick;x
162;95;166;137;Azra's Crossing;x
163;229;252;212;Tumnosh;x
164;251;207;117;Corvelda;x
165;193;7;82;Argent;x
166;167;120;21;Morkul;x
167;151;120;159;Exile's Barrow;x
168;219;111;102;Karthgran Vale;x
169;177;157;210;Dunkarn Haven;x
170;240;135;253;Silaseli;x
171;47;217;26;Fallen Grotto;x
172;171;130;177;Evermore;x
173;96;195;64;Murcien's Hamlet;x
174;27;37;42;Aquaduct Rock;x
175;84;159;62;Ridgefire;x
176;203;128;91;Encampment Coast;x
177;152;181;210;Thukhozod's Sanctum;x
178;121;252;115;Shipwreck Cove;x
179;38;134;116;Black Wastes;x
180;87;112;131;Strasnoc's Landing;x
181;132;143;144;Sunken Road;x
182;78;38;60;Weeping Giant;x
183;10;161;46;Grim Dyke;x
184;80;97;223;Fort Redman;x
185;113;17;72;Thukhozod;x
186;25;205;106;Treasure Rock;x
187;74;233;91;Old Orsinium;x
188;63;63;130;Grudge-Rock;x
189;165;66;193;Sjinji's Scarp;x
190;88;28;146;Windkeep;x
191;31;92;202;Nornalhorst;x
192;120;153;226;Norvulk;x
193;251;132;135;Portdun;x
194;55;233;31;Sanguine Barrows;x
195;112;127;44;Mermaid Bay;x
196;245;14;5;Fishman;x
197;64;194;103;Markwasten Moor;x
198;169;115;32;Moira's Hope;x
199;189;187;37;Trader's Rest;x
200;213;19;242;Edrald;x
201;3;231;96;Fell's Run;x
202;165;98;150;East-Rock;x
203;185;82;173;Normar Heights;x
204;208;206;68;Northpoint;x
205;60;250;45;Gavaudon;x
206;44;245;112;Cumberland's Watch;x
207;74;116;136;Moonlit Maw;x
208;101;141;105;Fragel's Landing;x
209;230;242;149;Pariah;x
210;38;8;14;Friendship Gate;x
211;9;130;237;Firebrand;x
212;134;12;77;Wayrest;x
213;16;197;191;Hammerdeath;x
214;69;67;222;Dreughwaters;x
215;130;249;168;Menevia;x
216;26;157;139;Balfiera;x
217;231;197;253;Thorkan Park;x
218;23;101;64;Hoarfrost Downs;x
219;220;34;171;Old Shorhelm;x
220;111;68;1;Siren's Cove;x
221;145;60;133;Shorfields;x
222;120;5;18;Koeglin;x
223;231;81;196;Windridge;x
224;93;208;218;Wrothgaria;x
225;213;110;25;Old Gate;x
226;51;204;107;Hinault;x
227;3;80;27;Old Gate;x
228;209;6;192;Westwind;x
229;130;33;125;Veawend Ede;x
230;209;164;156;Shorhelm;x
231;40;152;11;Valeguard;x
232;154;95;237;White Haven;x
233;162;89;19;Crestshade;x
234;6;7;144;Meir Thorvale;x
235;60;44;124;Doomcrag;x
236;116;44;248;Erokii;x
237;242;60;132;Par Molag;x
238;151;113;109;Meir Darguard;x
239;109;140;190;Cath Bedraud;x
240;198;236;98;Crosswych;x
241;71;108;122;Flyleaf;x
242;79;238;135;King's Guard;x
243;174;101;5;Eaglebrook;x
244;114;96;81;Dwynnarth;x
245;149;217;160;Gaudet;x
246;12;43;231;Merovec's Folly;x
247;243;246;81;Camlorn;x
248;172;65;15;Cambray Pass;x
249;62;55;17;Enduum;x
250;124;181;56;Westtry;x
251;154;124;78;Cambray Hills;x
252;25;30;90;Northmoor;x
253;100;239;252;Kambria;x
254;164;45;10;Alcaire;x
255;55;230;169;Trapjaw's Cove;x
256;126;205;72;Bhoriane;x
257;219;91;19;Spindleclutch;x
258;241;204;165;Dywnenn;x
259;223;160;2;Urvaius;x
260;51;195;128;Phrygias;x
261;201;199;1;Phrygias;x
262;202;136;158;Anitclere;x
263;198;2;226;Mire Falls;x
264;80;46;92;Hillford;x
265;43;12;122;Glenumbra Moors;x
266;253;250;149;Dresan;x
267;55;11;144;Vale Of The Guardians;x
268;186;183;241;Shrieking Scar;x
269;214;8;34;Shalgora;x
270;178;22;180;Aldcroft;x
271;148;219;135;Dourstone;x
272;59;103;225;Glenpoint;x
273;108;87;64;Daggerfall;x
274;48;174;66;Ilessan Tower;x
275;86;108;231;Betony;x
276;13;2;3;Blacklight;x
277;26;110;170;Tulune;x
278;200;132;122;Soluthis;x
279;190;94;12;Cormaris View;x
280;92;187;191;Rhun Huk;x
281;88;67;143;Silgrad Tower;x
282;110;84;110;Kogomar;x
283;59;25;26;Firemoth Island;x
284;94;249;24;Veranis Hall;x
285;129;168;242;Kogotel;x
286;206;80;29;Septim's Gate Pass;x
287;4;143;203;Verarchen;x
288;102;75;107;Bodrum;x
289;162;10;104;Zaelbalmiran;x
290;4;7;200;Omayni;x
291;231;164;234;Bodrum;x
292;123;35;206;Knocker's Neck Pass;x
293;4;254;44;Kartur;x
294;251;149;242;UNNAMED;x
295;36;30;163;Balfalls;x
296;6;108;96;Ngelfltingth;x
297;172;56;153;Kragenmoor;x
298;234;216;226;Heimlyn;x
299;77;173;97;Ishanuran;x
300;17;185;212;Magmaflow Overlook;x
301;33;96;95;Shadowgate Pass;x
302;239;198;38;Hlarud;x
303;32;97;137;Indalruhn;x
304;177;213;12;Almas Thirr;x
305;127;110;143;Andotrhen;x
306;115;179;106;Hlan Oek;x
307;2;35;96;Rivergridge;x
308;144;163;3;Juilek Pass;x
309;21;20;2;Oaktown;x
310;69;51;142;ShortTusk Plains;x
311;109;38;144;Nav Andaram;x
312;138;171;121;Brahma's Grove;x
313;87;199;165;Mephala's Nest;x
314;110;129;238;Ebonheart;x
315;172;56;153;Davon's Watch;x
316;187;135;92;Emberflint Mine;x
317;5;194;84;Fort Arand;x
318;47;178;213;Steamlake Camp;x
319;110;123;192;Shad Astula;x
320;221;135;204;Bthanual;x
321;107;199;13;Nov Andaram;x
322;28;250;47;Othmura;x
323;232;183;230;Uld Hleryn;x
324;174;220;219;Narun;x
325;221;67;109;Dres Horak;x
326;6;175;145;Old Keep;x
327;193;38;162;Dres Hairab;x
328;133;114;61;Muth Gnaar;x
329;136;129;243;Narsis;x
330;122;4;118;Shipal Sharai;x
331;202;191;107;Silnim Dale;x
332;47;230;142;An'drev Bog;x
333;98;167;228;Ald'Mora;x
334;175;73;9;Dres Yengrith;x
335;52;26;58;Taj'Xa'thaxi;x
336;136;219;182;Tear;x
337;93;83;24;El'vratus Beach;x
338;62;8;51;Dres Cove;x
339;11;236;112;Corkarth Run;x
340;125;82;81;Kithendis Falls;x
341;137;155;58;Arnesia;x
342;188;147;200;Oroynyon Bay;x
343;123;160;172;Deepcrag Den;x
344;172;173;97;Selfora;x
345;67;142;138;Silent Mirr;x
346;170;129;204;Aldsotha;x
347;78;246;165;Almalexia;x
348;112;117;69;Obsidian Gorge;x
349;80;1;114;Othrenis;x
350;87;61;178;Mzithumz;x
351;220;222;54;Selfora;x
352;178;10;88;Bosmora;x
353;58;45;191;Tal'Deic Fortress;x
354;68;56;13;Amber Forest;x
355;20;223;156;Ghorne;x
356;60;195;128;Bosmora;x
357;197;248;225;Dreynim;x
358;41;90;139;Meralog;x
359;215;29;131;Dondril Vhul;x
360;90;224;53;Bal Foyen;x
361;63;24;87;Greenheights;x
362;186;16;220;St Veloth Temple;x
363;90;111;47;Dhalmora;x
364;79;42;254;Dragon Glade;x
365;241;249;75;Illdrim;x
366;117;60;68;Sailen Vulgate;x
367;146;186;194;Enamor Dayn;x
368;154;26;223;Salen Vulgate;x
369;246;158;119;Rephan Coast;x
370;115;231;45;Necrom;x
371;97;7;51;Rephan Cove;x
372;120;52;63;Mephala Temple;x
373;199;62;88;Aldr Cove;x
374;195;191;59;Salen;x
375;242;44;179;Darnim Watch;x
376;68;156;98;Green Beach;x
377;100;167;63;Greenheights;x
378;33;177;218;Ammar;x
379;236;6;73;Greenheight Lighthouse;x
380;238;81;97;Praloris;x
381;33;123;135;Marog;x
382;67;231;138;Nelnim;x
383;75;183;208;Mount Melpha;x
384;47;242;76;Velothi Beach;x
385;253;203;157;Sadrith Hills;x
386;112;55;172;Sadrith Woods;x
387;45;160;206;Velothi's Haven;x
388;42;153;161;Port Velothi;x
389;254;223;246;Tel Mothriva;x
390;224;136;1;Ingun's Run;x
391;121;59;191;Llolanthis Heights;x
392;132;221;142;Tel Drew Beachs;x
393;166;121;127;Firewatch;x
394;121;150;45;Sadrith Mora;x
395;139;231;208;Tel Aranyon;x
396;126;235;48;Tel Aranyon;x
397;168;135;164;Tel Obada;x
398;192;205;43;Bal Oyra;x
399;228;248;175;Bthzundcheft;x
400;218;160;245;Gah Sadrith;x
401;85;22;66;Sadas Plantation;x
402;106;99;132;Yashazmus;x
403;171;226;120;Port Telvannis;x
404;52;45;43;Dwenven Beach;x
405;253;173;110;Telish Hills;x
406;28;203;56;Mount Tel;x
407;204;21;185;Tel Forests;x
408;172;9;109;Halaran;x
409;196;191;74;Shad Island;x
410;131;147;59;Bahrammu;x
411;37;85;228;Ald Daedroth;x
412;136;99;228;Dagon Fel;x
413;11;51;59;Ald Redaynia;x
414;209;101;234;Ahemmusa;x
415;80;30;232;Vos;x
416;233;254;1;Indoranyon;x
417;41;84;26;Hanud;x
418;44;30;82;Tel Aruhn;x
419;226;204;86;Kushtashpi;x
420;116;239;230;Tel Vos;x
421;165;242;123;Nchuleft;x
422;82;201;64;Venim Meadow;x
423;102;133;136;Zainab Camp;x
424;255;244;252;Aralen Grasslands ;x
425;87;180;183;Sethan Groves;x
426;102;170;238;Falensarano;x
427;73;165;63;Lenith Cliffs;x
428;79;114;154;Tel Aruhn;x
429;93;246;30;Tel Fyr;x
430;52;109;244;Kaushtarari;x
431;205;74;179;Uvirith's Grave;x
432;18;217;180;Erabenimsun Camp;x
433;175;144;182;Arethan Cliffs;x
434;182;4;101;Tusenend;x
435;63;147;175;Shashpilamat;x
436;0;101;189;Holyamayan Monastery;x
437;169;104;241;Azura's Shrine;x
438;85;66;253;Odirniran;x
439;60;187;28;Mawia;x
440;62;165;194;Molag Mar;x
441;205;89;70;Tel Branora;x
442;29;11;47;Telasero;x
443;175;111;153;Mount Kand;x
444;160;91;24;Mzahnch;x
445;196;86;171;Mababi;x
446;207;55;32;Nchuleftingth;x
447;53;210;28;Shishara;x
448;74;82;53;Suran;x
449;94;215;134;Omani Manor;x
450;116;208;253;Marandus;x
451;188;211;63;Sulipund;x
452;20;164;124;UNNAMED;x
453;191;162;56;Dren Plantation;x
454;108;2;123;Vivec;x
455;41;151;144;Ebonheart;x
456;110;146;228;Seyda Neen;x
457;222;163;149;Pelagiad;x
458;44;55;100;Hla Oad;x
459;66;210;41;Balmora;x
460;184;110;223;Assarnatamat;x
461;163;109;71;Caldera;x
462;47;247;102;Hlormaren;x
463;27;252;173;Hla Oad;x
464;142;176;249;Nilthog's Hollow;x
465;24;123;26;Buckmoth Fort;x
466;212;35;200;Ald'ruhn;x
467;224;66;103;Gnaar Mok;x
468;65;245;216;Odibaal;x
469;71;4;24;Bal Isra;x
470;209;157;61;Andasreth;x
471;168;151;104;Ashimanu;x
472;103;96;72;Dushariran;x
473;0;136;17;Ashalmawia;x
474;154;105;244;Berandas;x
475;135;157;96;Gnisis;x
476;241;96;109;Ald Velothi;x
477;246;215;212;Maelkashishi;x
478;167;159;152;Maar Gan;x
479;83;37;84;Shishi;x
480;247;223;105;Khuu;x
481;139;53;254;Falasmaryon;x
482;24;8;205;Valenvaryon;x
483;125;119;150;Urshilaku ;x
484;74;167;207;Snowline;x
485;41;13;115;Dragon Gate;x
486;92;163;4;Darastra;x
487;115;172;116;Valley of Scars;x
488;128;178;176;Chiselshriek;x
489;201;145;158;Ghast's Pass;x
490;30;29;177;Twiceborn Star;x
491;46;28;206;Skyreach;x
492;145;15;196;Loth'Na;x
493;127;5;9;Dragonstar;x
494;69;63;99;Heldorn;x
495;187;241;62;Silaseli;x
496;75;120;147;Azra's Crossing;x
497;40;70;206;Kerbol;x
498;164;82;119;Heldorn Mount;x
499;51;177;23;Skyreach Catacombs;x
500;154;212;2;Kardala;x
501;94;96;236;Bangkorai North Pass;x
502;155;186;128;Bangkorai Garrison;x
503;131;36;174;Northglen;x
504;23;166;216;Blighted Coast;x
505;183;164;166;Blighted Highlands;x
506;15;35;5;Viridian Woods;x
507;44;142;110;Blackheart;x
508;103;119;68;Strastnoc Landing;x
509;209;77;35;Thorstad;x
510;53;146;140;Evermore Straits;x
511;48;247;135;Satakalaam;x
512;156;183;0;Pothago;x
513;145;158;25;Kozanset;x
514;50;185;43;Na-Totambu's City;x
515;150;34;141;Hallin's Stand;x
516;141;149;140;Verkarth;x
517;194;43;229;Volenfell;x
518;134;54;69;Lainlyn;x
519;224;188;46;Motalion;x
520;124;149;201;Tigonus;x
521;168;102;84;Cybiades;x
522;191;145;29;Myrkwasa;x
523;221;74;49;Sentinel;x
524;87;28;225;Chastown;x
525;204;194;125;Na-Totambu Landing;x
526;230;56;84;Abibon-Gora;x
527;239;240;236;Kelps Yat;x
528;222;36;78;Nohotoghra;x
529;124;149;201;Oldroren (M);x
530;95;113;92;Hegathe;x
531;206;187;236;HoonDing;x
532;204;152;249;Sunkeep;x
533;132;57;182;Bingketh (M);x
534;16;232;189;Shady Grove;x
535;113;244;161;Rachlane;x
536;80;248;28;Gilane;x
537;46;169;227;Laine;x
538;83;112;45;Dragonrock (M);x
539;174;197;90;Conorrol (M);x
540;217;74;239;Princegate Pass;x
541;23;52;201;Shutteredtomb;x
542;132;74;186;Rhilmir (M);x
543;251;209;219;Skilgin (M);x
544;135;147;30;Hubalajad's Reflection;x
545;117;134;227;No Shira Citadel;x
546;229;193;169;Allavod (M);x
547;61;253;92;Abah's Landing;x
548;172;165;209;Deepwell (M);x
549;226;226;149;Hewsport (M);x
550;171;89;73;Ihras (M);x
551;91;85;103;Cersorn (M);x
552;44;118;240;Bergama;x
553;205;236;157;Dak'fron;x
554;71;140;98;Riverview;x
555;229;75;38;Taneth;x
556;117;225;28;Dustfront (M);x
557;191;29;66;Karrnver Falls;x
558;22;202;139;Olmer (M);x
559;103;117;151;Roseguard;x
560;146;94;207;Valon (M);x
561;100;127;72;Chaseguard;x
562;224;110;89;Denolorn (M);x
563;138;24;44;Rihad;x
564;54;119;109;Santaki;x
565;151;88;7;Abasa;x
566;48;190;107;Dragontail;x
567;231;213;34;Qharroa;x
568;28;180;99;Ohran Keep (M);x
569;217;139;82;Kamver;x
570;143;8;34;Moonview (M);x
571;154;184;215;Gongath (M);x
572;57;177;65;Arlimahera (M);x
573;15;163;172;Hogon (M);x
574;162;72;227;Rihath (M);x
575;173;115;118;Strangkin (M);x
576;217;71;142;Brenaswatch (M);x
577;178;26;32;Webhelm (M);x
578;29;11;70;Lonedale (M);x
579;44;142;110;Ongkaleth (M);x
580;19;124;104;Billemir (M);x
581;231;106;16;Halene (M);x
582;173;22;198;Cortenhad;x
583;141;114;35;Ehimhid (M);x
584;176;175;26;Fort Smokefork (M);x
585;177;72;233;Lumreva (M);x
586;83;177;59;Dusty Pass;x
587;60;220;51;Eastern Pass;x
588;16;16;163;Skangar (M);x
589;159;184;205;Lightunhold (M);x
590;236;240;0;Vehehod Vurn (M);x
591;155;3;14;Tildrilith (M);x
592;177;144;223;Skahler (M);x
593;127;18;110;Stonemoor;x
594;10;249;54;Helkati;x
595;4;145;159;Skegdith (M);x
596;197;123;178;Skorid (M);x
597;246;240;4;Amrennin (M);x
598;76;5;29;Nokelos;x
599;25;196;121;Sunstar (M);x
600;78;19;5;Illesid (M);x
601;253;80;188;Helgar (M);x
602;32;73;95;Strahrones (M);x
603;203;151;41;Northpost (M);x
604;162;72;227;Fomnillon (M);x
605;123;146;139;Strigdive (M);x
606;149;253;158;Ralamhos (M);x
607;119;194;103;Fort Allhawk (M);x
608;6;25;111;Corten Mont;x
609;221;151;208;Helland;x
610;99;175;76;Fenroln (M);x
611;151;120;217;Zodren (M);x
612;77;232;65;Zangin (M);x
613;242;51;117;Ronasis (M);x
614;122;227;108;Vel M'kai;x
615;196;193;12;North Hall;x
616;36;98;171;Arbol (M);x
617;43;93;119;Odomirn (M);x
618;155;64;159;Riverpoint;x
619;72;126;114;Hogdith (M);x
620;88;163;217;Bepghei (M);x
621;218;125;130;Ash'abhas;x
622;63;30;217;Telesubi;x
623;73;114;202;Tarkasus;x
624;181;95;197;Vulnim Gate;x
625;239;185;232;Nilata;x
626;112;139;166;Klathzgar;x
627;4;4;73;Bangkorai South Pass;x
628;137;80;98;Lakewatch;x
629;202;12;53;Vulkenu Town;x
630;158;201;126;Cliff Keep;x
631;167;118;175;Skaven;x
632;132;184;174;FangLair Spire;x
633;241;237;203;Na-Totambu Catacombs;x
634;201;102;209;Bleakview Keep (M);x
635;109;101;185;Earthtear;x
636;106;147;72;Buried Sands;x
637;247;232;83;Ogondar;x
638;221;21;144;Haddocksmarket;x
639;95;233;41;Molavar;x
640;208;211;49;Belkarth;x
641;171;16;213;Elinhir;x
642;219;97;227;Hakkvild;x
643;107;79;138;Nimbel;x
644;127;188;201;Adamant;x
645;117;172;100;Ankara;x
646;87;75;174;Spellscar;x
647;123;7;182;Zalgaz;x
648;53;124;148;Gahlovi (M);x
649;146;104;58;Scorpion Ravines;x
650;252;240;230;Tehla (M);x
651;118;241;189;Lanista;x
652;117;152;118;Rkhardahrk;x
653;32;199;111;Twilight Temple;x
654;141;21;127;Hel-Ra Citadel;x
655;162;46;50;Damar;x
656;120;58;93;Cilla-Karak;x
657;212;150;41;Fearfrost;x
658;37;28;89;Rahni'Za;x
659;75;189;126;Tear;x
660;130;142;3;Pale Pass;x
661;156;24;80;Wildeye;x
662;154;168;177;Gnoll Mountain;x
663;187;128;173;Frostcrag Spire;x
664;197;123;21;Fort Dragonclaw;x
665;221;151;158;Cloud Ruler Temple;x
666;177;169;153;Rielle;x
667;91;251;114;Boreal Stone;x
668;247;249;210;Alessia's Rest;x
669;168;108;229;Jagged Hills;x
670;254;221;12;Lipsand Tarn;x
671;32;74;207;Sancre Tor;x
672;172;148;151;Ninendava;x
673;126;112;244;Applewatch;x
674;12;204;118;Underpall;x
675;153;86;211;Bruma;x
676;227;108;164;Plundered Gates;x
677;163;102;235;Toadstool Hollow;x
678;204;117;79;Bleaker's Outpost;x
679;40;109;52;Anga;x
680;95;27;93;Ice-Heart;x
681;185;237;121;Bleaker's Way;x
682;80;79;192;Endre;x
683;23;216;194;Piukanda;x
684;141;71;116;Fort Coldcom;x
685;225;122;0;Sheltered Leaves;x
686;92;164;58;Sercen;x
687;169;253;70;Aleswell;x
688;38;226;134;Glademist;x
689;101;235;244;Orange Cliff;x
690;196;208;90;Moranda;x
691;30;38;219;Windy Highlands;x
692;245;6;47;Shaderton;x
693;198;230;97;Cloud Top;x
694;60;6;254;Fort Rayles;x
695;77;249;208;Hrotanda Vale;x
696;162;22;122;Journeyman's Clearing;x
697;57;85;214;Odiil;x
698;189;49;182;Forrest Glades;x
699;199;174;33;Chorrol Forrest;x
700;90;247;252;Yellow Tick;x
701;68;40;8;Fort Empire;x
702;17;88;58;Weye;x
703;228;29;126;Wawnet;x
704;165;175;116;Breakneck;x
705;104;226;135;Narfinsel;x
706;64;82;55;Brindle Home;x
707;185;37;38;Gottlesfont Priory;x
708;203;157;51;Haynote;x
709;125;97;31;Grayrock;x
710;145;208;95;Fort Wooden Hand;x
711;220;41;14;Elenglynn;x
712;145;71;250;Fort Ash;x
713;139;156;170;Dibella's Pond;x
714;110;218;132;Weynon Priory;x
715;10;230;170;Chorrol;x
716;31;97;74;Nonungalo;x
717;73;117;27;Fort Ontus;x
718;121;47;153;Rickare;x
719;67;179;213;Everteen;x
720;179;201;169;Anderian;x
721;238;18;237;Fort Carmala;x
722;139;156;170;Sanguine's Log;x
723;217;101;188;Kynareth's Hills;x
724;40;206;131;Gottlesfont Priory;x
725;153;125;169;Grateful Pass;x
726;62;184;200;Shadeleaf Copse;x
727;44;115;152;Ceyatatar;x
728;21;32;137;Skingrad;x
729;97;3;211;Bloodcrust;x
730;143;90;240;Silorn;x
731;181;20;220;Arkay's Pillars;x
732;5;6;115;Fat Ramp Camp;x
733;175;141;221;Cursed Cliffs;x
734;102;105;92;Fyrelight;x
735;84;162;96;Bleak Flats;x
736;25;8;143;Fort Dirich;x
737;67;228;21;Balley View;x
738;196;228;47;Dusty ;x
739;189;54;83;Brotch;x
740;2;42;179;Echo Hills;x
741;142;224;76;Pitch Cliff;x
742;219;127;129;Infested Clearing;x
743;109;234;88;Varondo;x
744;89;221;200;Talwinque;x
745;62;181;106;Shetcombe;x
746;162;237;139;Fallen Rock;x
747;232;111;194;Miscarcand;x
748;245;65;126;Gnoll's Meeting;x
749;235;114;172;Fort Istirus;x
750;106;30;69;Shardrock;x
751;235;159;26;Dasek Moor;x
752;188;82;34;Troll Candle Camp;x
753;186;129;185;Ra'sava;x
754;26;46;12;Mongrel's Tooth;x
755;133;133;158;Dagny;x
756;3;177;78;Ales;x
757;103;198;169;Fort Hastrel;x
758;221;19;170;Fort Linchal;x
759;147;94;132;Wariel;x
760;33;166;215;Kvatch;x
761;180;239;130;Shattered Mine;x
762;112;145;192;Sithian Rock;x
763;2;68;151;Last Chance;x
764;160;178;159;Niryastare;x
765;255;110;63;Trumbe;x
766;187;185;255;Fort Wariel;x
767;205;169;212;Gottshaw;x
768;163;128;3;Belletor's Folly;x
769;2;15;140;Jodestone;x
770;229;96;29;Egriril (M);x
771;47;194;130;Keenspite (M);x
772;111;134;143;Gweden Farm;x
773;118;14;122;Dunbarrow Cove;x
774;106;234;160;Fort Strand;x
775;132;27;171;Anvil;x
776;64;105;81;Garlas Agea;x
777;143;101;164;Whitmond Farm;x
778;252;188;168;Bodean;x
779;98;38;112;Atrene;x
780;223;78;91;Golden Lighthouse;x
781;185;209;130;Garlas Malatar;x
782;111;180;138;Fort Crowhaven;x
783;160;17;61;Fort Sutch;x
784;246;50;9;Drad Estate;x
785;187;152;188;Beldaburo;x
786;223;110;16;Fort Virtue;x
787;182;166;204;Fanacasecul;x
788;137;142;38;Vindasel;x
789;36;224;72;Felgageldt;x
790;206;192;24;Vlastarus;x
791;124;213;212;gro-Bak;x
792;255;35;0;Collarbone;x
793;37;63;71;Nisin;x
794;92;42;171;Castle Roebeck;x
795;238;244;212;Priory of the Nine;x
